Iteration,Combination,Current Script,Execution Time (seconds),RAM Memory Usage (MB),CPU Usage (%)
1,p,predict.py,206.80113792419434,894.5078125,100.0
1,n,noise_removal.py,15.473628044128418,198.75,25.0
1,d,detect.py,133.79821133613586,644.01953125,100.0
1,pp,predict.py,295.44566464424133,903.94140625,100.0
1,pp,predict.py,295.44566464424133,906.46875,100.0
1,pn,noise_removal.py,21.96636652946472,198.96875,100.0
1,pn,predict.py,205.67232871055603,904.92578125,100.0
1,pd,detect.py,216.47425246238708,642.37890625,100.0
1,pd,predict.py,267.06650137901306,904.890625,100.0
1,np,noise_removal.py,19.927828311920166,198.77734375,100.0
1,np,predict.py,209.10928511619568,901.98828125,100.0
1,nn,noise_removal.py,16.69542098045349,199.1953125,38.8
1,nn,noise_removal.py,16.898821353912354,199.05078125,38.5
1,nd,noise_removal.py,19.12562108039856,199.43359375,100.0
1,nd,detect.py,123.04144406318665,644.40625,100.0
1,dp,detect.py,214.94925594329834,642.51953125,100.0
1,dp,predict.py,268.38775730133057,905.23828125,100.0
1,dn,noise_removal.py,18.912222146987915,198.31640625,100.0
1,dn,detect.py,123.41247892379761,642.203125,100.0
1,dd,detect.py,216.01864767074585,640.90625,100.0
1,dd,detect.py,216.22007298469543,649.828125,100.0
1,ppp,predict.py,409.3253266811371,891.68359375,100.0
1,ppp,predict.py,410.4349277019501,885.828125,100.0
1,ppp,predict.py,410.6243631839752,889.578125,100.0
1,ppn,noise_removal.py,25.21398401260376,198.83203125,100.0
1,ppn,predict.py,300.4459743499756,904.9375,100.0
1,ppn,predict.py,300.44297885894775,903.44140625,100.0
1,ppd,detect.py,320.14570808410645,640.61328125,100.0
1,ppd,predict.py,376.0575942993164,898.828125,100.0
1,ppd,predict.py,376.458872795105,906.703125,100.0
1,pnp,noise_removal.py,23.709004402160645,199.1328125,100.0
1,pnp,predict.py,296.2573595046997,906.4921875,100.0
1,pnp,predict.py,296.3608570098877,906.359375,100.0
1,pnn,noise_removal.py,22.413963556289673,198.48046875,100.0
1,pnn,noise_removal.py,22.814311742782593,199.23046875,100.0
1,pnn,predict.py,208.34437680244446,903.7890625,100.0
1,pnd,noise_removal.py,24.569374322891235,198.97265625,100.0
1,pnd,detect.py,221.2733347415924,642.23046875,100.0
1,pnd,predict.py,271.7493300437927,907.7734375,100.0
1,pdp,detect.py,320.0396683216095,644.43359375,100.0
1,pdp,predict.py,373.01754903793335,900.6796875,100.0
1,pdp,predict.py,373.4244647026062,907.53515625,100.0
1,pdn,noise_removal.py,24.81806778907776,198.796875,100.0
1,pdn,detect.py,220.5337839126587,643.31640625,100.0
1,pdn,predict.py,272.58645820617676,900.875,100.0
1,pdd,detect.py,303.76158142089844,651.55078125,100.0
1,pdd,detect.py,304.37039852142334,647.09765625,100.0
1,pdd,predict.py,344.2033271789551,901.59375,100.0
1,npp,noise_removal.py,25.235660314559937,199.0546875,100.0
1,npp,predict.py,292.9988305568695,910.24609375,100.0
1,npp,predict.py,293.4022419452667,902.49609375,100.0
1,npn,noise_removal.py,24.464936017990112,198.55859375,100.0
1,npn,noise_removal.py,24.672141790390015,198.5,100.0
1,npn,predict.py,212.87187099456787,901.30078125,100.0
1,npd,noise_removal.py,22.850294828414917,199.07421875,100.0
1,npd,detect.py,217.38549637794495,640.59375,100.0
1,npd,predict.py,268.3173952102661,904.6796875,100.0
1,nnp,noise_removal.py,22.58195948600769,198.84375,100.0
1,nnp,noise_removal.py,22.5829598903656,198.796875,100.0
1,nnp,predict.py,207.29041624069214,904.73828125,100.0
1,nnn,noise_removal.py,18.32674241065979,198.80859375,51.0
1,nnn,noise_removal.py,18.32674241065979,198.76953125,51.0
1,nnn,noise_removal.py,18.323203802108765,198.453125,51.0
1,nnd,noise_removal.py,21.758023977279663,199.01953125,100.0
1,nnd,noise_removal.py,21.76754903793335,199.1484375,100.0
1,nnd,detect.py,127.6889500617981,641.6328125,100.0
1,ndp,noise_removal.py,23.602003812789917,198.96484375,100.0
1,ndp,detect.py,217.65880250930786,643.75,100.0
1,ndp,predict.py,270.02586460113525,902.546875,100.0
1,ndn,noise_removal.py,21.763256788253784,199.14453125,100.0
1,ndn,noise_removal.py,21.763256788253784,198.9609375,100.0
1,ndn,detect.py,128.5132598876953,644.4765625,100.0
1,ndd,noise_removal.py,23.379930019378662,198.58984375,100.0
1,ndd,detect.py,218.34872603416443,640.73046875,100.0
1,ndd,detect.py,218.4330279827118,641.56640625,100.0
1,dpp,detect.py,325.00485134124756,645.71875,100.0
1,dpp,predict.py,378.903715133667,903.01171875,100.0
1,dpp,predict.py,379.0718729496002,905.8515625,100.0
1,dpn,noise_removal.py,25.851855993270874,198.953125,100.0
1,dpn,detect.py,224.45947647094727,643.078125,100.0
1,dpn,predict.py,275.9206657409668,901.87109375,100.0
1,dpd,detect.py,314.1443524360657,640.48828125,100.0
1,dpd,detect.py,315.54939889907837,640.4453125,100.0
1,dpd,predict.py,352.2129237651825,903.5703125,100.0
1,dnp,noise_removal.py,26.040720224380493,198.76171875,100.0
1,dnp,detect.py,223.480384349823,641.87109375,100.0
1,dnp,predict.py,273.41579270362854,911.69921875,100.0
1,dnn,noise_removal.py,22.36620855331421,198.7734375,100.0
1,dnn,noise_removal.py,22.373748064041138,198.9296875,100.0
1,dnn,detect.py,129.7041928768158,641.29296875,100.0
1,dnd,noise_removal.py,23.344461679458618,199.20703125,100.0
1,dnd,detect.py,218.30333614349365,643.8671875,100.0
1,dnd,detect.py,218.88479328155518,638.45703125,100.0
1,ddp,detect.py,302.09452748298645,644.40234375,100.0
1,ddp,detect.py,303.60283517837524,642.3828125,100.0
1,ddp,predict.py,345.2742154598236,914.6796875,100.0
1,ddn,noise_removal.py,25.566692352294922,198.9140625,100.0
1,ddn,detect.py,220.08205270767212,643.53515625,100.0
1,ddn,detect.py,220.48010182380676,646.06640625,100.0
1,ddd,detect.py,291.58559226989746,644.56640625,100.0
1,ddd,detect.py,291.7821612358093,642.8515625,100.0
1,ddd,detect.py,292.18256092071533,640.40625,100.0
